  cma	prov
Calgary	Alberta
Charlottetown	Prince Edward Island
Edmonton	Alberta
Halifax	Nova Scotia
Montreal	Quebec
Ottawa	Ontario
Quebec	Quebec
Regina	Saskatchewan
Saint John	New Brunswick
Saskatoon	Saskatchewan
St. Johns	Newfoundland and Labrador
Toronto	Ontario
Vancouver	British Columbia
Victoria	British Columbia
Whitehorse	Yukon
Winnipeg	Manitoba
Yellowknife	Northwest Territories
